"Reference","Value","Datasheet","Footprint","Qty","Manufacturer","Part"
"BT1","LiPo Cell","https://www.lipolbattery.com/Micro-Lithium-Battery-3.8V.html","Custom:LPM0940","1","Lipol Battery","LPM0940"
"C1,C2,C3,C4","1µF","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL05A105KA5NQNC.pdf","Capacitor_SMD:C_0402_1005Metric","4","Samsung Electro-Mechanics","CL05A105KA5NQNC"
"D1","D_Photo","https://www.vishay.com/docs/84910/vemd4110x01.pdf","Custom:DIO_VEMD4110X01","1","Vishay Semiconductor Opto Division","VEMD4110X01"
"D2","LED","https://www.kingbrightusa.com/images/catalog/SPEC/APG0603SEC-E-TT.pdf","LED_SMD:LED_0201_0603Metric","1","Kingbright","APG0603SEC-E-TT"
"Q1","Q_NMOS_GSD","https://www.diodes.com/assets/Datasheets/DMN2053UW.pdf","Custom:SOT-323_SC-70 - thin","1","Diodes Incorporated","DMN2053UW-7"
"R1","1M","https://www.te.com/usa-en/product-6-2176337-1.datasheet.pdf","Resistor_SMD:R_0402_1005Metric","1","TE Connectivity Passive Product","CRGCQ0402F1M0"
"TP2","UPDI Pogo Pads","~","Custom:1mm pad x4","1","Mill-Max Manufacturing Corp.","0985-0-15-20-71-14-11-0"
"U1","LP5868TRKPR","https://www.ti.com/lit/ds/symlink/lp5868t.pdf","Custom:VQFN40-RKP_TEX","1","Texas Instruments ","LP5868TRKPR "
"U2","ATtiny3226","https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/ATtiny3224-3226-3227-Data-Sheet-DS40002345B.pdf","Custom:ATtiny3226","1","Microchip Technology","ATTINY3226-MUR"
"U3","XC61GC3002HR-G","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/642/XC61G.pdf","Custom:XC61G_USP-3_TOR","1","Torex Semiconductor Ltd","XC61GC3002HR-G"
