"Reference","Value","Datasheet","Footprint","Qty","Manufacturer","Part"
"C1,C2,C3","100nF","https://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_Automotive_MT.pdf","Capacitor_SMD:C_0805_2012Metric","3","Walsin Technology Corporation","MT21B104K500CT"
"D1","D_Schottky","https://toshiba.semicon-storage.com/info/docget.jsp?did=14077&prodName=CUS10S30","Diode_SMD:D_SOD-323","1","Toshiba Semiconductor and Storage","CUS10S30,H3F"
"D2","LED","https://optoelectronics.liteon.com/upload/download/DS-22-99-0150/LTST-C170KRKT.pdf","LED_SMD:LED_0603_1608Metric","1","Lite-On Inc.","LTST-C170KRKT"
"J1","USB_B_Micro","https://www.cuidevices.com/product/resource/uj2-mibh-g-smt-tr.pdf","Custom:CUI_UJ2-MIBH-G-SMT-TR","1","Same Sky (Formerly CUI Devices)","UJ2-MIBH-G-SMT-TR"
"J2","UPDI socket","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2900/NPxCxx1KFXx-RC%2010487-D.pdf","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical_SMD_Pin1Right","1","Sullins Connector Solutions","NPTC061KFXC-RC"
"R1","470","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rp_51_rohs_l.pdf","Resistor_SMD:R_0805_2012Metric","1","YAGEO","RP0805FRE07470RL"
"SW2","SW_SPDT","https://www.nidec-components.com/e/catalog/switch/cl-sb.pdf","Custom:CL-SB-12B-01_NDC","1","Nidec Components Corporation","CL-SB-12B-01T"
"TP4","UPDI Pogo Pads","~","Custom:1mm pad x4","1","Mill-Max Manufacturing Corp.","0985-0-15-20-71-14-11-0"
"U1","CH340C","https://docs.sparkfun.com/SparkFun_RTK_Facet_mosaic/assets/component_documentation/CH340DS1.PDF","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","1","Amazon","B0BK991VVV"
"U2","LTC4126EV-10_TRMPBF","https://www.analog.com/media/en/technical-documentation/data-sheets/LTC4126-10.pdf","Custom:LTC4126-10","1","Analog Devices Inc.","LTC4126EV-10#TRMPBF"
