Designator,Mid X,Mid Y,Rotation,Layer
BT1,54.7,-34.2,0.0,bottom
C1,47.51,-34.99,90.0,top
C2,52.97,-37.76,180.0,bottom
C3,47.51,-37.01,90.0,top
C4,47.51,-33.53,90.0,bottom
D1,49.85,-30.69,0.0,bottom
D2,57.965,-30.1,180.0,bottom
H1,59.83,-31.4,0.0,bottom
H2,59.83,-37.0,0.0,bottom
H3,45.5,-31.4,0.0,bottom
H4,45.5,-37.0,0.0,bottom
Q1,50.95,-37.13,180.0,bottom
R1,48.03,-31.22,90.0,bottom
TP2,48.045,-34.66,0.0,bottom
U1,55.44,-34.16,270.0,bottom
U2,50.0376,-33.959999,180.0,bottom
U3,47.82,-37.27,270.0,bottom
